FN,CT,ZT,CFUN,FNCL,LID,L0,L1,QCT,QIO,QPP,QPW,QRL,UNIF
mdiam,?????,?????,?,?,?,?,?,?,?,?,?,0,0
ddiam,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mdoll,?????,?????,?,?,?,?,?,?,?,?,?,0,0
ddoll,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mcent,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dcent,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mdot,?????,?????,?,?,?,?,?,?,?,?,?,0,0
ddot,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mlbr,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mrbr,?????,?????,?,?,?,?,?,?,?,?,?,0,0
drbr,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mlpar,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dlpar,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mrpar,?????,?????,?,?,?,?,?,?,?,?,?,0,0
drpar,?????,?????,?,?,?,?,?,?,?,?,?,0,0
msemi,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dsemi,?????,?????,?,?,?,?,?,?,?,?,?,0,0
massg,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dassg,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mgoto,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dgoto,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mdier,?????,?????,?,?,?,?,?,?,?,?,?,0,0
ddier,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dalph,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dubar,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dibem,?????,?????,?,?,?,?,?,?,?,?,?,0,0
djot,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dquad,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dqqd,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dnuax,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dcoax,?????,?????,?,?,?,?,?,?,?,?,?,0,0
dlamp,?????,?????,?,?,?,?,?,?,?,?,?,0,0
mplus,BIDZC,BIDZC,.,msf,.,.,.,0,0,0,0,0,1
dplus,IIDZC,IIDZC,dplus,dsf,0,.,.,0,0,0,0,0,1
mbar,BIDZC,BIDZC,.,msf,.,.,.,0,0,0,0,0,1
dbar,IIDZC,IIDZC,.,dsf,0,.,.,0,0,0,0,0,1
mmpy,BIDZC,BIIZC,.,msf,",",.,.,0,0,0,0,0,1
dmpy,BIDZC,BIDZC,dmpy,dsf,1,0,.,0,0,0,0,0,1
mstar,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
dstar,IIDZC,IIDZC,.,dsf,.,.,.,0,0,0,0,0,1
mmax,BIDZC,BIIZC,.,msf,.,.,.,1,0,0,0,0,1
dmax,BIDZC,BIDZC,dmax,dsf,min$YTYPE(),.,.,.,0,0,0,0,1
mmin,BIDZC,BIIZC,.,msf,.,.,.,1,0,0,0,0,1
dmin,BIDZC,BIDZC,dmin,dsf,max$YTYPE(),.,.,.,0,0,0,0,1
mmod,BIDZC,BIDZC,.,msf,.,.,.,0,0,0,0,0,1
dmod,BIDZC,BIDZC,.,dsf,.,.,.,1,0,0,0,0,1
mdtak,?????,?????,.,?,.,.,.,0,0,0,0,0,1
ddtak,IIDZC,IIDZC,.,?,.,.,.,0,0,0,0,0,1
mutak,?????,?????,.,?,.,.,.,0,0,0,0,0,1
dutak,IIDZC,IIDZC,.,op,.,.,.,0,0,0,0,0,1
dand,BIDZC,BIDZC,dand,dsf,1,0,.,0,0,0,0,0,1
dor,BIDZC,BIDZC,dor,dsf,0,.,1,0,0,0,0,0,1
dlt,BIDZC,BBBBB,dgt,dsf,0,.,.,1,0,0,0,0,1
dle,BIDZC,BBBBB,dge,dsf,1,.,.,1,0,0,0,0,1
deq,BIDZC,BBBBB,deq,dsf,1,.,.,1,0,0,0,0,1
dge,BIDZC,BBBBB,dlt,dsf,1,.,.,1,0,0,0,0,1
dgt,BIDZC,BBBBB,dlt,dsf,0,.,.,1,0,0,0,0,1
dne,BIDZC,BBBBB,dne,dsd,0,.,.,1,0,0,0,0,1
mnot,BBBBB,BBBBB,.,msf,.,.,.,0,0,0,0,0,1
dnand,BBBBB,BBBBB,dnand,dsf,.,.,.,0,0,0,0,0,1
dnor,BBBBB,BBBBB,dnor,dsf,.,.,.,0,0,0,0,0,1
mquadfi,DDDZC,DDDZC,.,quadfi,.,.,.,0,0,0,0,0,0
mquadvi,DDDZC,DDDZC,.,quadfi,.,.,.,0,0,0,0,0,0
nquadav,DDDZC,DDDZC,.,quadav,.,.,.,0,0,0,0,0,0
nquadts,DDDZC,DDDZC,.,quadts,.,.,.,0,0,0,0,0,0
mquad,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,1,1,0,0
deps,BIDZC,BBBBB,.,dmisc,.,.,.,1,0,0,0,0,1
diota,BIDZC,IIIII,.,dmisc,.,.,.,1,1,0,0,0,1
miota,IIIII,IIIII,.,mmisc,.,.,.,0,1,0,0,0,0
dsame,BIDZC,BBBBB,dsame,dmisc,.,.,.,1,0,0,0,0,1
depsb,BIDZC,BBBBB,.,dmisc,.,.,.,1,0,0,0,0,1
mugrd,?????,IIIII,.,mmisc,.,.,.,0,1,0,0,0,1
mugrdPV,?????,IIIII,.,mmisc,.,.,.,0,1,0,0,0,1
dugrd,?????,IIIII,.,mmisc,.,.,.,0,1,0,0,0,1
mdgrdPV,?????,IIIII,.,mmisc,.,.,.,0,1,0,0,0,1
mdgrd,?????,IIIII,.,mmisc,.,.,.,0,1,0,0,0,1
ddgrd,?????,IIIII,.,mmisc,.,.,.,0,1,0,0,0,1
mthrn,BIDZC,BIDZC,.,thorn,.,.,.,0,0,1,0,0,0
dthrn,BIDZC,BIDZC,.,thorn,.,.,.,0,0,0,0,0,0
mrho,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,0,0,0,1
drho,RRRRR,RRRRR,.,dmisc,.,.,.,0,0,0,0,0,0
mcoma,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,0,0,0,1
dcoma,BIDZC,BIDZC,.,dmisc,.,.,.,0,0,0,0,0,1
mcomb,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,0,0,0,1
dcomb,BIDZC,BIDZC,.,dmisc,.,.,.,0,0,0,0,0,1
mrotr,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,0,0,0,1
drotr,RRRRR,RRRRR,.,dmisc,.,.,.,0,0,0,0,0,1
dtake,RRRRR,RRRRR,.,dmisc,.,.,.,0,0,0,0,0,0
ddrop,RRRRR,RRRRR,.,dmisc,.,.,.,0,0,0,0,0,0
mtran,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,0,0,0,1
dtran,RRRRR,RRRRR,.,dmisc,.,.,.,0,1,0,0,0,0
mrot1,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,0,0,0,1
drot1,RRRRR,RRRRR,.,dmisc,.,.,.,0,0,0,0,0,1
mrtak,LLLLL,LLLLL,.,mmisc,.,.,.,0,0,0,0,0,1
drtak,LLLLL,LLLLL,.,dmisc,.,.,.,0,0,0,0,0,1
mltak,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,0,0,0,1
dltak,RRRRR,RRRRR,.,dmisc,.,.,.,0,0,0,0,0,1
dindr,?????,?????,?,indr,?,?,?,?,1,?,?,0,0
dindrfr,?????,?????,?,indr,?,?,?,?,1,?,?,0,0
dinds,?????,?????,?,inds,?,?,?,?,1,?,?,0,0
msl,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
msl1,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
dsl,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
dsl1,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
mbsl,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
mbsl1,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
dbsl,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
dbsl1,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
mbang,BIDZC,BIIZC,.,mmisc,.,.,.,0,0,0,0,0,1
dbang,BDDZC,BDDZC,.,dmisc,.,.,.,0,0,0,0,0,0
mcirc,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
dcirc,DDDZC,DDDZC,.,dsf,.,.,.,0,0,0,0,0,1
mquer,IIIII,IIIII,.,query,.,.,.,0,1,0,0,1,0
dquer,IIIII,IIIII,.,query,.,.,.,0,1,0,0,1,0
mlog,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
dlog,DDDZC,DDDZC,.,dsf,.,.,.,0,0,0,0,0,1
mdiv,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
ddiv,DDDZC,DDDZC,.,dsf,.,.,.,0,0,0,0,0,1
mlog,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
dlog,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
subs,?????,?????,.,?,.,.,.,0,0,0,0,0,?
rsub,?????,?????,.,?,.,.,.,0,0,0,0,0,?
cap,?????,?????,.,?,.,.,.,0,0,0,0,0,?
cup,?????,?????,.,?,.,.,.,0,0,0,0,0,?
hydr,?????,?????,.,?,.,.,.,0,0,0,0,0,0
